Name,Rating,Date,Review
Nini M.,3 star rating,"Jul 8, 2024","Wait was about an hour, grant it was a sat morning so I understood but it was PACKED. We had to sit outside because we had dogs. Service was very very slow. We ordered everything right away but it took forever to come out. We sat directly under the sun and they couldn't accommodate another umbrella. So it was lightweight miserable to eat. Our drinks were getting hot. On to the food.. the calamari was to die for. It was so good and came with fried jalapeño which we loved. I got the coppacino, I think that's how you spell it. It's a seafood combination with tomatoe broth/sauce. It was okay. Really nothing special about it. The mussels were fresh. I had to get rice to eat with it. Clam chowder was okay, 4/10. Needed more clam and flavor. Overall I was excited to try this place but it wasn't that great. Maybe I'll give it another try."
Savannah M.,5 star rating,"Sep 1, 2024","Our server Jorge was sooo amazing he was very kind and personable & gave us amazing recommendations! The swordfish,  grilled octopus, and calamari were great and cooked to perfection, Jorge made the experience so much more enjoyable! he was very kind, & funny  !"
Demi S.,5 star rating,"Jul 10, 2024","Beautiful ambiance overlooking Pier 39. We ordered the crab cakes, fried scallops,  the risotto, and the tiramisu. 10/10. Shout out to Michael for providing stellar service."
Trecie M.,3 star rating,"Aug 22, 2024","I would try this restaurant again, but I need another dish because what I got seemed like a sample size portion.  The lobster stuffed crab will definitely leave you still hungry.  I think that  they hope you're going to fill up on the potatoes, but I ordered it for the seafood, not potatoes.  The menu stated half lobster, but maybe not an adult size lobster, and the taste of crab does not warrant the price.  I got more bread than entrée."
Nea A.,3 star rating,"Jul 23, 2024","Came here for a date, and we got Luis as our server. He was so attentive and made sure we never felt forgotten despite them being busy. Cause of that it was really loud and crowded in the restaurant, felt at times that you could bump into a table with how crammed it was. Out of all of the dishes we order the calamari was our favorite. The mixed grill was good as well just lukewarm when I got it. And the clam chowder was decent. All in all we would just come back for the calamari and cocktails."
Ani B.,5 star rating,"Aug 30, 2024",Luis was amazing! Great service. Made our dinner very special with his recommendations and kind service.
Diana A.,5 star rating,"Aug 31, 2024","We loved the view and our wonderful server, Denis! The lobster roll did not disappoint!"
Phil M.,3 star rating,"Aug 30, 2024","This is definitely a touristy place. The food is just OK. The best thing on the menu is the bread! There's tons of weight staff, but the service was not great. The food is overpriced and I definitely would not go back."
Lynn Z.,5 star rating,"Aug 15, 2024","This place seriously has the best clam chowder!! I'm quite the chowder connoisseur and the bread bowl with chowder here is phenomenal. Crab cakes are also fantastic. I've only been here twice but plan on coming back as much as my wallet will let me (it's worth every Penny)! The service is great and the vibe is very chill attire ranges from casual to high end. Even if you make a reservation you may have to wait, I didn't mind as I knew it would be worth it. Truly fun place to be."
Ines P.,5 star rating,"Jul 8, 2024","Best food! I am celiac and have to eat gluten free. They had many options and I chose the chicken meal. The fried fish (non gf) looked amazing and was had by two people, the wedge salad - DELISH! The tuna was amazing!  The ambiance was great and I can't recommend this place enough! The views are beautiful as well."
Cee B.,4 star rating,"Jul 15, 2024","First time walking the pier and had worked up an appetite for seafood. As I wondered around I found ""Crab House"" and after looking at the menu I could imagine myself paying $100 for a plate of crustaceans without any sides or any desirable sides to ask for as an upcharge. Therefore I kept looking and found ""Fog Harbor Fish House"". I was seen immediately and I'm guessing because not too many were lined up to pay the fine dining prices. Nonetheless I was helped by Alex G with an eagerness to make me feel welcomed and well taken care of.  The young man did an excellent job representing the quality of service that accompanied my meal. I ordered the platter and was expecting to have to be lifted out of the restaurant afterwards  but, the portion size was not that big. The value, I would say is a 3 out of 5 and the taste I would give a 3 out of 5 because they gave a TON of GARLIC and BUTTER with the dish and really no seasoning (what I was hoping for.) Nevertheless I was grateful for the experience, location (because it's overlooking the pier, and the service.), and the ability to afford such a well established place.-Alex if you or the management staff is reading this, Thanks Again!‍"
Allison H.,4 star rating,"Apr 14, 2024","My bf and I decided to eat here for his birthday. Atmosphere: Clean and bright. Nice glass windows where you can look out into the waters.Food: We got the half dozen oysters, clam chowder in a bread bowl, and the fish & chips. The oysters tasted fresh with great presentation. The clam chowder was creamy and flavorful. The sourdough was not my favorite. I liked the complimentary bread more than the sourdough. I absolutely loved the fish & chips. The fish was nice and flaky and the batter was thin and crispy. It's a nice place to eat after walking around the pier. They have great food selection. I would love to bring my family next time."
Nikhil U.,5 star rating,"Jun 29, 2024","Came here with a family party of 10. The wait for such a large group could be long but we ended up getting a table sooner than expected. Food was great and we ordered all sorts of sea food. The kids also loved their food. The oysters were good, but I think a tad bit expensive compared to other places. We had bottles of the house Pinot and the house Chardonnay which were pretty good as well. The service was also excellent. All in all a good seafood dinner in a busy touristy place for a large group! A win all over."
Tiffany L.,4 star rating,"Apr 12, 2024","4.5 stars! I had low expectations for what I thought would be a Fisherman's Wharf tourist trap. I came on a sunny Saturday afternoon around 2:30pm and was seated shortly after checking in. If you're lucky enough to snag a table near the window, you can enjoy the beautiful views of the ocean and city. Our waitress was speedy and attentive, despite the huge restaurant being packed. - Clam chowder bread bowl: A must-order if you're visiting SF. This tasted okay. Wasn't the best I've had, but definitely not the worst. I prefer Boudin's or Hog Island's.- Seafood platter for one ($44): Imagine garlic noodles piled with flavorful clams, mussels, shrimps, and half a Dungeness crab. I was pleasantly surprised with the quality of the seafood. The noodles were a tad oily for my taste. Large portion - this was enough to feed the two of us.We were in and out of there in under an hour. Good option for lunch or dinner if you're in the area.TIPS!- Park in the multistory garage across the street. I recommend walking across the sky bridge (located on the 3rd floor of the garage), as this leads you directly to the restaurant. Fog Harbor provides validation for 1 hour of parking.- You can hop on the online Yelp waitlist to avoid a long wait, BUT you have to be within 1 mile of the restaurant to join."
Logan N.,5 star rating,"Jun 27, 2024","I give this place 5 stars not because the food is Michelin quality, but it's a great casual place for a family meal. My kids loved it. BREAD AND BUTTER: warm sourdough bread with butter at its finest. CLAM CHOWDER: you have to order it because it's what you do in SF. It's creamy and probably loaded with half and half, butter, or both. Regardless, my family devoured it. SEARED AHI TUNA: I wished I'd order 2 of these dishes. It was light which was needed to cut through the heavy clam chowder. The flavors are Asian influence. CRAB CAKES:  good but I just don't know how to appreciate a good crab cake. Maybe I'm just not a fan of crab cakes.OCTOPUS: so good!"
Desiree W.,4 star rating,"Jul 20, 2024",Pros: Nicely decorated Great views of the waterA lot of windows to utilize the natural light instead of overhead lightsCandles were brought to the table around sunset...loved itDrinks were amazing my favorite was the lipstick lemon drop. The black raspberry liqueur helped to elevate the lemon drop. Great combo of sour and sweet. I also had the Alcatraz Escape which was good too. The Biscotti cheesecake-chef's kissThe waiter was excellent. I forgot his name but he is from Brazil. He recommended the lemon drop and dessert. He was attentive to us and our needs as we had small children with us.  He also chased us down when we left some items at the table. Cons: The bathrooms that sat in the middle of the waiting area and the bar can use some sprucing. It didn't flow with the look of the restaurant. The restaurant gives a high end vibe but the restrooms were giving fast food. The fried scallops had no flavor. The batter should have been seasoned. I enjoyed my seafood platter but the aftertaste of ocean water or harbor water I didn't like and I felt the noodles were unnecessary. The wait timeOverall: I would go again
Erica H.,5 star rating,"Aug 24, 2024",Jose was our server and he did a fantastic job.  He's quick and very professional.  The food was delicious.
Getin M.,5 star rating,"Jul 26, 2024","We went there twice during our recent trip to San Francisco, it's that good! The crab cakes were all crab and no filler, simply delicious. Also had a cup of their incredible clam chowder. The swordfish was fresh and prepared with chimchurri sauce for the veggies and potatoes, and a delicious pesto aioli on the swordfish. Would totally recommend. The seared scallops and crab risotto, to die for, but very rich, a good dish to share. The lobster roll was fantastic. Got Caesar salad instead of the fries it came with, and the salad was great! Fog Harbor fish house is a gem down at fisherman's wharf. Will visit again when back in SF."
Benson W.,3 star rating,"Apr 1, 2024","Came on a random weekday at sunset and was surprised to see it so packed. Views of the bay are definitely better during the day.Served by bongjovi for the night and he was fantastic.Good seafood overall if you want a taste of  San Francisco. Calamari is definitely top tier, one of the best I've had at any restaurant. I understand it is a seafood restaurant but wanted to try their burger and yes, it was a bad idea. Also the seafood risotto(not sure, I don't see it on menu but check picture ), rice was undercooked way more than usual.I'm not a big fan of seafood but there are occasions that wow me and this was not one of them. Drinks weren't the best, I basically had to shotgun it. Also pretty expensive but understandable."
Ramona G.,5 star rating,"Mar 4, 2024","Dang! Fog Harbor has a whopping 10,000+ reviews! That's a lot!I've had Fog Harbor Fish House bookmarked for a couple of years now, and I finally had the chance to visit the last week of December. My cousin was visiting and we had just done an Alcatraz Tour. I was checking my bookmarks and realized that Fog Harbor wasn't too far away. There was a short wait since we came in the late afternoon.The restaurant is located on the top floor of Pier 39. There's a nice view of SF Bay. It's a tourist restaurant, but I like those types of places.We shared a plate of their Seared Scallop & Crab Risotto $39 which was delicious. We also got a platter of their Calamari $17 which was also great. Our server was really friendly, I forgot his name, but he said he was originally from Hawaii. Super nice guy.Great place to get some seafood at Pier 39/Fisherman's Wharf."
Darrel K.,4 star rating,"Mar 17, 2024","We had dinner here on a busy weekday evening when I thought it was going to be a tourist trap, but it turned out to be very nice and classy.  Our wait was minimal and we got seated by the window, which would've had a great view if it weren't at night.  The food was good and the portions were generous enough for two people.  That clam chowder is definitely something I'd go back for again!  It was a big bread bowl and a little soup.  Fried fish and calamari were good since I hadn't had them in a while.  Coming back to the bay always brings back memories of when I lived here!  People say it's gone downhill, but I only saw some vacant storefronts and closed businesses.  There's still the same vibe and energy and it hasn't lost its charm.  It's just like 'San Francisco' by Scott McKenzie"
B-Rad K.,5 star rating,"Sep 1, 2024","Came to Fog Horn for dinner. Our server, Denis, (not Dennis the Menace,) is a friendly chap. We couldn't figure out where which country he was originally from. Sounds like a mix of Portuguese, Italian and Russian, but after a 3 attempts, we figured out where he was from! Take a guess... it was a pleasure having him as our server!"
Laurie S.,4 star rating,"Mar 28, 2024","Our family stopped by for a light dinner here on a Thursday evening. Instant main positive...we were quoted a 15-20 min wait, and it was even a few minutes before when we got our table. Our server, Shawn was very accommodating and attentive. The bread was enjoyed by all at the table. Kids really enjoyed their food-pasta and a cheeseburger. Also ordered at the table was a double espresso, clam chowder in a bread bowl, a mixed green salad, and a side of fingerling potatoes & grilled veggies in oil and garlic. Other than an incorrect salad being brought out, then mine finally coming out quite a bit later, everything was fantastic. They did automatically remove my salad from the bill without us even request it, because the majority of our meal was finished, but I did get to take it home. But honestly, got super full on my lovely made to order veggies, absolutely delish!Seating: They have tables, booths, and the bar available. It was very busy, and there were smiles all around. Amazing views of the bay from basically any seat in the house.Food: Flavorful, ample portions, and not overpriced at all. There is a nice variety of seafood, meat, pasta, salads, beverages, and more.Would definitely come on back when I'm in the area!"
Elizabeth M.,5 star rating,"Aug 28, 2024",Came here alone this past weekend. The good was amazing and the staff were exceptional. I want point out that my waiter Luis went out of his way to make sure I felt very welcome there and he provided me with great service!! Dog Harbor was recommended to me by a friend. And I can see why. Def a must visit!!
Chris J.,5 star rating,"Aug 31, 2024","Exceptional Dining Experience with Stellar Service by Jorge! I recently had the pleasure of dining at Fog Harbor Fish House, and I must say, the experience was nothing short of outstanding. The moment I walked in, I was greeted with a warm welcome, setting the tone for the evening. The ambiance is delightful, with stunning views of the waterfront that perfectly complement the fresh, coastal-themed decor. What truly made the evening memorable, however, was the exceptional service provided by our waiter, Jorge. From the start, Jorge's professionalism and friendly demeanor stood out. He was attentive without being intrusive, ensuring our glasses were always full and that we had everything we needed. His knowledge of the menu was impressive--he offered insightful recommendations that truly enhanced our dining experience. We started with the award winning clam chowder, which was creamy and flavorful, followed by the whole Dungeness crab that were perfectly crisp on the outside and tender on the inside, cooked to perfection! Throughout the meal, Jorge checked in at just the right moments, making sure we were enjoying everything. His genuine passion for the food and his commitment to providing top-notch service were evident, and it made all the difference to our dining experience. To top it all off, Jorge recommended the Tiramisu and Apple Crisp a la Mode for dessert, and it was the perfect ending to a fantastic meal--refreshing, tangy, and with just the right amount of sweetness. Overall, Fog Harbor Fish House offers not only exquisite seafood but also an atmosphere of warmth and hospitality. If you're looking for a memorable dining experience, ask for Jorge--you won't be disappointed!"
Kim T.,5 star rating,"Mar 27, 2024","I was taken here for dinner for my birthday and it's located in Pier 39! It's nice to walk around and visit the boutique shops before grabbing food to eat. The restaurant is big and has large windows to look at the boats and water. We sat at the booth next to the bar and had a nice view. The staff were friendly despite being very busy. For appetizers, we got mussel fries and a caesar salad. I thought it was funny how the salad was just lettuce uncut. We loved the sweet, creamy sauce for the mussel fries! For our mains, we got the crab risotto and seafood penne. The crab risotto had scallops and there was also a pesto sauce on top. The food was steaming hot and delicious! I would definitely come back when I'm in the area."
Sherene H.,5 star rating,"Mar 25, 2024","Made a reservation on Yelp a week in advance and I'm glad I did cause it was busy! We ate at 730 and had a really nice table with a view of Alcatraz! We also saw the bridge and a beautiful sunset. As for the food we tried the clam chowder bowl and the sourdough bread was sooo delicious! I loved the clam chowder since it had potatoes and chunks of clam. So tasty! For the mains we ordered the lobster tails and the scallop and crab risotto. The risotto was rich and had some crab chunks. The scallop was cooked nicely and the lobster of course was delicious! I even like the green beans. Our server was excellent, super attentive, polite, and professional. Definitely would come back here. Everything was wonderful!"
Jewelia C.,2 star rating,"Mar 25, 2024","Overpriced and overhyped - way better options in the city! Brought my friends visiting from Boston here and regretted it as there is soooo much better food in sf!! Our drinks were not very good and food was overall very bland and of course everything was expensive being a popular tourist spot. My friend got their ""famous"" clam chowder and said it was just okay....The main saving grace of this place is the view and location! We loved looking out into the water and walked the pier area after so that was nice but definitely will not be coming back here for the food."
Maria B.,5 star rating,"Aug 31, 2024",Great staff great service and delicious food. I want to give a shout our to Denis he was very attentive. He even recommended places to visit while we were here.
Liam B.,5 star rating,"Aug 31, 2024","Denis the waiter is a very kind, out going gentlemen who exhibits quality service and a great, warm personality , the ambiance here at fog harbor is wonderful, the clam chowder bread bowl was divine 10/10!"
Keith D.,5 star rating,"Aug 13, 2024","Best location with a view, with ample Tables for Two.Food and Services are Great with a friendly staff."
Linda L.,3 star rating,"May 26, 2024","Very nice seafood restaurant at Fisherman's Wharf, not super touristy. Lots of food options for various diets. Portions are huge! Service was quick and efficient. The steamed clams were my favorite. Their signature clam chowder in a bread bowl was a little too thick for my taste. It was more like gravy than soup. The fried calamari was light and well breaded. The mussels with fries was delicious and mussels were fresh. The fried scallops was tasty but small. Everything was a bit on the heavy side on flavors but good for the normal palette."
Rachel C.,2 star rating,"Feb 29, 2024","It happens occasionally when I get excited over Yelp leading the way to a great restaurant with raving reviews, only to be disappointed. The good news is that we were able to get a seat quickly through the Yelp app.  The bad news is everything else fell flat.  It was our least favorite experience of our entire trip. Food was just ok. Very bland, lacking anything other than grease flavor. Server was just ok. Not very personable.  Ambiance was just ok. Beautiful front entry only to be jammed in the back at a dirty table. I don't know, this is such a gem of a spot on the Wharf and maybe we just totally caught them on an off night."
Mariah S.,5 star rating,"Jun 12, 2024","The food, immaculate. The staff, top notch and so attentive to everything going on. They are very thorough in asking if people have allergies. The views are great! I also had a glass of moscato and it was so sweet & bubbly, it paired perfect with my steak. We also got the creme brûlée for dessert and it was perfect. We were also able to get a military discount on our bill! Highly recommend coming here for lunch or dinner or just to get a great view."
Cathleen S.,5 star rating,"Aug 30, 2024","Our server Jorge went out of his way to serve us in the outside patio area, as we had our dog along. The food was delicious, and we love that all the seafood is sustainably sourced. A beautiful SF day for our little birthday celebration, and Jorge was fun and efficient throughout!  Many thanks!"
Idalia D.,1 star rating,"Aug 27, 2024",I only ate here because my son wanted lobster. His lobster was so small it was hilarious. My wife and I split a chicken Caesar salad and fried fish and chips. First off our waiter was not friendly. I ask for a second plate that I never got. They serve you water with no ice so the water is warm. I had to ask for ice. My bill was over $100 and it was not worth it. I would have been happy with a street vendor. I don't recommend this place. Zero stars
Andres C.,5 star rating,"Aug 18, 2024","Everything was great , amazing service, Luis our server did just great  can wait to comeBack"
Evgeniya K.,5 star rating,"Jun 16, 2024","We both got Mixed Grill, seafood dish. It was really good, we both liked it. Highly recommend! Really good customer service, nice views, good food"
Farrah A.,5 star rating,"May 19, 2024","We went strictly for their award winning clam chowder, and it certainly impressed! It was so good, a few bites in we both confessed that we should've opted for the bowl (instead of just a cup). They also have a bread bowl option.Reservations are advised, unless you opt to sit at either of their bars, where seating is first-come. We opted to dine at the casual end of the restaurant, which is more of an oyster bar style of atmosphere. There's a bar inside there as well."
Natina M.,5 star rating,"Aug 27, 2024","Great food, beautiful bay view seating, and great service by Daniella. Had the lobster bisque appetizer special, mixed grill entree and biscotti cheesecake."
Madeline G.,4 star rating,"Jun 13, 2024","First time in SF, found this place on Yelp. I really wanted seafood and a lovely view and this place fit the bill. There was a wait upon arrival but I only waited 10 minutes and everyone else seemed to moving through the list quickly. My server greeted me within a few min and I honestly can't say that my service was good or bad. I'm still trying to label my server and/or my service and I just can't. He didn't seem thrilled to be at work that day but was efficient enough. The food was both great and mediocre. The clam chowder with crab added was fantastic! The swordfish was just okay but the veggies it was served with were some of the best I've ever had. I enjoyed my meal so much that I came back for dinner a second night."
Jonathan K.,5 star rating,"Aug 5, 2024","Our server Atan, was a delight! She was amazing. For this place to be on the Pier, Hugh traffic, touristy, we absolutely loved it. Really the best claim chowder I've had and I've had Boston's. The lobster roll was absolutely solid. I can't speak high enough of this place. I highly recommend and our waitress was memorable."
Michele G.,5 star rating,"Feb 5, 2024","Walking Pier 39 on a cloudy, rainy day, we were so ready to get the famous clam chowder in our bellies! Fog Harbor Fish House was incredible and the perfect spot to come. The ambiance is nice, clean, upscale but not formal. The staff were great and service was professional. Restaurant interior was warm, cozy and the views of the bay were perfect, even on an overcast day. Food was soooo delicious! We ordered a few different options and everything was to die for!Next time I return to Fisherman's Wharf I will definitely come back because this meal was fantastic in all ways!"
Bailey S.,5 star rating,"Aug 30, 2024",Stopped for a quick bowl of chowder before a boat tour. Food was amazing and the service from Daniela was phenomenal! Definitely recommend!!
Mia A.,5 star rating,"Aug 7, 2024",Food here does not disappoint! I had the scallops and crab risotto and it was delicious! Drinks are creative and sweet just how I like it! We had a table with the water view and the service was exceptional. Great place to take family when they are visiting!
Amber C.,5 star rating,"Aug 9, 2024",Our server Jorge was great! Great recommendations and food. And the ambience was good
Jenny C.,5 star rating,"Aug 9, 2024","Thank you Hailey  for you kindness attention, we love the food and the nice environment of the restaurant with a Beautiful Bahia view"
Megan M.,5 star rating,"Jun 5, 2024","I never thought I would eat at a restaurant in a touristy area. This restaurant exceeded my expectations. We made reservations for a large group and were seated once the entire party arrived. The inside was quite busy with other customers. My party ordered various food from their menu including the shrimp brochette, shellfish platter, seared scallop and crab risotto, crispy calamari, and mussel fries. For drinks, I got the hibiscus brut. Everything we got was a 10/10. The food was so delicious and reasonably priced. Their service was phenomenal. I would recommend others to come try out this restaurant if you're in the area or visiting SF. Their mussel fries are a must-have!"
Jinbo X.,5 star rating,"Jul 7, 2024",Jorge is great! Food is great! Always like to come here! Would like to come next time every once a several month!
Christine D.,5 star rating,"Jun 3, 2024","Took family to Pier 39 to see the sea lions and stopped by Fog Harbor Fish House for a ""light lunch."" We ordered steamed clams, mussel fries, fish and chips, and several bowls of clam chowder. The meal was only light in the sense that we all shared so no one ate a whole plate by themselves. Everything was delicious, and service was great. We were seated immediately upon arriving at noon on the weekend, but just a few minutes later, a waitlist had started."
Steve B.,3 star rating,"Aug 6, 2024","Loved the location and quality of service,Portions were definitely on the SMALL side and very pricey....3 stars for location and service."
Betty C.,5 star rating,"Jun 3, 2024",This place is always busy but worth it.  We were seated at a table with a lovely view outside.  The tables aren't crammed together and the waitstaff was attentive without hovering.  There was already a bottle of water on the table.  Our food was tasty and cooked to the appropriate temperature without being overcooked.  I could have sat there all day but the sea lions were calling me!
David L.,5 star rating,"Feb 29, 2024","I came to Fog Harbor since it's one of the most rated restaurants in SF and I'm glad I checked it out. They have a wide variety of seafood as well as steaks, salad, and sandwiches. There was something for everyone at my company's dinner and everything was good overall. FoodI ordered a special steak with crab meat layered on top and it was excellent. The steak was cooked well and was juicy and tender. I loved that the crab meat was all on top so that I did not have to peel anything at all. The mashed potatoes was creamy and super good. The greens were also sautéed well. For table appetizers we got the red chili garlic shrimp, salad, and ceviche from the special menu. The red chili garlic shrimp is kind of spicy but I would recommend it! For dessert, we ordered the tiramisu and the dessert duo. I liked the tiramisu since it's one of my favorite dishes, but they were both delicious and sweet. AtmosphereThe restaurant is located on Pier 39 so you can get a good view of the bay during the day. Casual or fancy wear. The interior was nice and there's a good mix of booth or table seating, as well as outside seating. The noise level was not too loud and we had a good company dinner here. PricingPricing is average for a seafood restaurant and is actually nice if you pay to dine in. I expected to pay more since this is SF (I'm from Seattle) and spot on the pier but overall not too pricey. ServiceService was excellent and the server was able to make good recommendations for the table. Food came out quickly and everything was to order. OtherLocated on the second floor of Pier 39 so be sure to look up and at my picture of the entrance. There is paid parking I think but my group just took a Lyft there. Great view and also things to do around."
Tanaka C.,3 star rating,"Jul 20, 2024","Came back for lunch today and brought Mom and another Sister, totally NOT the same experience. Our server Daniela could NOT be so bothered and it showed. Drastically different from the attentive service we received from Jeremy. The food was good overall but Mom ordered fish and chips with garlic fries which were served cold and the second batch tasted like they were reheated and were hard. She absolutely loved the fish though. Brother ordered the lobster tails which he enjoyed and even raved about the vegetables which accompanied. One of my sisters got the lobster roll and salad which she enjoyed but said there was a tad too much butter. My other Sister and I ordered the seared scallops with lobster risotto and I would ordered this again and again. Unfortunately, my first dish was served just somewhat warm which is a huge irritant to me. The problem was remedied but this, coupled with Moms fries and the lackluster service received, it was like I was in a different place. Even the bread was different, NOT served HOT as it was with Jeremy and today didn't even have that strong sourdough taste. Disappointing to drive across the bridge, have to deal with parking and not receive at least the same level of service we just received not one month ago."
Teresa B.,4 star rating,"Aug 25, 2024","Great ambience and delicious food. We had the cioppino, grilled salmon and snapper, shrimp brochettes, yummy clam chowder with fresh baked rolls. Watching the seals swim in and out of the marina was an added bonus."
Salam A.,4 star rating,"Jul 29, 2024","I was thoroughly impressed with this restaurant as I definitely expected it to be a tourist trap since it's located right on the pier. We waited about 25 minutes in total - I would recommend adding yourself to the yelp waiting list before you arrive to the restaurant to reduce the wait time. We got a  table right next to the window with a gorgeous view of the sea lions and the water. I ordered the clam chowder and caesar salad - I really enjoyed the clam chowder although I wish it came out hotter. The caesar salad was alright, probably wouldn't order again. The best part of the experience was our server Jimmy, he was super attentive and incredibly welcoming. He recommended that we get the biscoff cheesecake and I am not exaggerating when I say it's one of the best desserts I've had in a while. I was honestly blown away by it and would go back just for that!!"
Lee K.,4 star rating,"May 22, 2024","At Fog Harbor, our party experienced great food, service, and views. We made our reservation conveniently via Yelp and we were seated right on time. The reservation confirmation let us know that we could have 1 hour of free parking at the Pier 39 garage with validation. We all opted for the cioppino and agreed that was exceptionally good.  With cioppino, some places prop up the seafood on a bed of pasta, but here they serve 100% seafood and a good amount at that.  The sauce was so good I would have licked the bowl if no one was looking. We also shared a large bowl of New England clam chowder and we're glad we did.  It was excellent, but so rich that it was plenty for us.  We added some of the cioppino sauce to the chowder to spruce it up and tone down the creaminess.  It was perfect.One nit with restaurant - They add to the bill a 5% SF mandated fee for employees which is fine... but in the bill, they tally up the subtotal, tax, and the 5% fee and then suggest tips of 18% to 25% on top of all that.  This tipping thing is really getting out of hand!"
Phil R.,5 star rating,"Feb 19, 2024","A not so subtle WOW!!!!  Could not have been more pleased with this choice in our quick drop-in for a couple nights along The Embarcadero!  Looked up top rated places to eat after a morning tour of Alcatraz and Yelp took us here.  5 stars for all of it; service, food, atmosphere, view, table settings and oh yes.... Service and food.   Crab crab crab for us and we were not disappointed!  Crab roll, crab and avocado Caesar salad, crab topped cup of chowder.... All spot on!!! Sourdough bread roll and blue cheese garlic bread too!!  We were fortunate to be seated without a reservation and super stoked to get a seat along the windows looking out to Alcatraz!  Place is epic and highly recommend!!! We will return when we return!!"
Kady L.,3 star rating,"Dec 28, 2023","Decided to try Fog Harbor as my first restaurant meal after touching down in San Francisco for vacation. I was a bit turned around at first, but realized the restaurant is located on the second floor of Pier 39. I made a reservation through Yelp on a Wednesday at 3:00 p.m. and only had to wait a few minutes to be seated. I could see Alcatraz in the distance from my table, which was pretty cool!I ordered the Clam Chowder in a ""Fresh House Baked Sourdough Bread Bowl"" ($14) and the Cioppino ($41) to share with company, as well as a Fort Point Villager IPA ($9). We were served 2 pieces of yummy complimentary bread to start. Next was the clam chowder, which I thought was average. However, I really enjoyed the cioppino and the spicy bread that came with it. The cioppino had crab, fish, shrimp, scallops, clams, and mussels.Unfortunately, I was repeatedly asked if I was done only 20 minutes after being served the cioppino. Being rushed really put a damper on the meal and made me uncomfortable, so I paid quickly and took the rest of the meal to go. Not likely to return, but glad I gave it a try."
monica c.,3 star rating,"Jul 28, 2024","Came back to San Francisco where I decided to revisit the restaurant. It's not very often that I write negative reviews, but my visit this second time around was a disappointment. The service was very slow which I'm usually patient with considering how busy the restaurant is. First, our waiter never offered us bread and butter. We arrived about the same time as the table next to ours and they didn't get their bread and butter either. Other tables got theirs. Then after our appetizers arrived, my husband decided to request for the bread and butter himself, but it still never came. For one of the appetizers, we ordered a lobster bisque in a regular bowl and it came in a sourdough bread bowl. We told the staff that this was incorrect. He said ""let me check"" and never came back. As expected, the lobster bisque was charged to our receipt so we had to correct that as well. Food this time around was okay in my opinion. We ordered the baked oysters. Flavor was definitely there . It just came out a little sloppy. My daughter got the poké which was pretty bland and could use some extra sauce. I got the half lobster with stuffed crab which wasn't too great either. Barely any meat and tasted dry. I also got tired of the stuffed crab. My husband probably got the best plate which was a half Dungeness crab with pasta. Very buttery and garlicky which made it taste great. I took some of the butter in his pasta to eat with my lobster. The last thing is the soda. My husband kept asking for refills. Sometimes our waiter would take a while to get it for him or sometimes he would forget and my husband would have to ask again. The overall experience from beginning to end made me sad that I spent so much money on the food here and there were multiple things that went wrong during our dinner."
Vivian Y.,5 star rating,"Feb 17, 2024","I'm shocked I haven't reviewed Fog Harbor before because as a native, this is one of my favorite restaurants to take visitors to experience a taste of SF. Yes, it's in the touristy Fishermen's Wharf area but the food and service are good and it gives the impression of SF I think most people think of. My go-to dishes:- crab and spinach dip - this was a bit of a miss this time- seafood linguine - swapped penne for linguine and this was amazing. I love all the fresh seafood in the dish and the balance of the flavors. - seared scallop and crab risotto - probably my favorite dish here. The crab risotto is cooked to a perfect al dente with amazing flavor and perfectly components with the seared scallops. One disappointment was that the scallops weren't evenly seared this time. Still a highly recommended dish though. - mixed grill is always solid. It's simple and yet done right. Perfect if you want to taste fresh seafood at its most natural flavor."
Kimmy J.,5 star rating,"Jul 27, 2024","Had a wonderful meal here! We had reservations and arrived about 10 minutes early, they did say to come back at the time of our reservation. The place is packed and they ask you to leave baby strollers outside which made us a bit nervous since our stroller is also our car seat and if it got stolen we wouldn't have been able to fly back home without buying another car seat from somewhere. But this wasn't the only restaurant that asked us to do it. I guess they are all pretty cramped for space. Our waiter was fantastic and the food was good! What made it stand out though, was the view from our table. We would pick this restaurant again over similar ones for that reason. The clam chowder was really good! I preferred the bread bowl at Crab House but the fish and chips my husband said was better here. The crab addition to my salad was so good. We got a chicken strips kids meal for our toddler and they were actually amazing. Can't go wrong here it seems! We would absolutely return on a future trip!"
Melanie K.,5 star rating,"Jul 29, 2024",My first time dining here and the food and service was amazing.Our server Luis was very friendly and attentive and on top of everything. We ordered several dishes to share and everything was delicious.I recommend this restaurant. Be sure to make a reservation.
Lei W.,5 star rating,"May 23, 2024",Had a bowl of clam chowder and a kids grilled salmon.  Made reservations ahead of time.  This is my third trip here to Fog Harbor.  I would have liked more water.  The food and view was great.  I'll be back.
Russel R.,5 star rating,"May 23, 2024",At Fisherman's Wharf and stopped for a drink and appetizer.  Good selection of wine and beer.  Decided on crab dip appetizer and drinks at the bar. Great service.
